#,priority,priority_name,fds,footprint,footprint_peak,dirty,PE,frozen,docked,swappable,coalition_id,pid,name,flags,total_dirty_time,process_lifetime,percent_dirty
241,0,(Idle),3,5361,5937,N,Y,-,N,-,439,268,seserviced,(---),15,173,8.71
242,0,(Idle),3,18433,24609,N,Y,-,N,-,12,190,MTLCompilerService,(---),6,181,3.43
243,0,(Idle),24,13233,14065,N,Y,-,N,-,506,309,financed,(---),133,169,79.15
244,0,(Idle),3,15745,26433,N,Y,-,N,-,348,236,MTLCompilerService,(---),5,179,3.03
245,0,(Idle),6,3361,3569,N,Y,-,N,-,228,352,com.apple.FaceTime.FTConversationService,(---),2,160,1.39
246,0,(Idle),3,1857,2161,N,Y,-,N,-,872,673,ReportSystemMemory,(---),5,16,30.79
247,0,(Idle),9,5249,5329,N,Y,-,N,-,64,62,mobiletimerd,(---),1,184,1.07
248,0,(Idle),61,5457,6097,N,Y,-,N,-,50,672,IntelligencePlatformComputeService,(---),11,26,43.73
249,0,(Idle),4,4705,5105,N,Y,-,N,-,449,273,mapspushd,(---),8,173,4.93
250,0,(Idle),3,5857,6049,N,Y,-,N,-,310,193,pkd,(---),36,181,19.85
251,0,(Idle),4,5969,6753,N,Y,-,N,-,134,97,navd,(---),22,184,12.31
252,0,(Idle),16,5681,6177,N,Y,-,N,-,516,315,mapssyncd,(---),130,167,78.10
253,0,(Idle),3,2113,2241,N,Y,-,N,-,856,654,AudioConverterHighCapacityService,(---),0,41,0.05
254,0,(Idle),45,11617,16481,N,Y,-,N,-,633,400,maild,(---),138,148,93.63
255,0,(Idle),7,3153,3585,N,Y,-,N,-,364,224,rtcreportingd,(---),9,180,5.36
256,0,(Idle),13,124850,136194,-,-,-,N,-,856,651,ChatGPT,(---),0,43,0.00
