## smcDiagnose 5.00 200
SEB1 , 0x00 00 00 00 
SEB2 , 0x00 00 00 00 
SEB3 , 0x00 00 00 00 
SEC0 , 0x00 00 00 00 
SEF0 , 0x00 00 00 00 
SES0 , 0x00 00 00 00 
SES1 , 0x00 00 00 00 
SES2 , 0x00 00 00 00 
SES3 , 0x00 00 00 00 
SEb0 , 0x00 00 00 00 
SEb1 , 0x00 00 00 00 
SEb2 , 0x00 00 00 00 
SEb3 , 0x00 00 00 00 
SEc0 , 0x00 00 00 00 
SEf0 , 0x00 00 00 00 
SEs0 , 0x00 00 00 00 
SEs1 , 0x00 80 00 00 
SEs2 , 0x00 00 00 00 
SEs3 , 0x00 00 00 00 
SFF0 , 0x00 00 00 00 
SFF1 , 0x00 00 00 00 
SFF2 , 0x00 00 00 00 
SFF3 , 0x00 00 00 00 
SFF4 , 0x00 00 00 00 
SFF5 , 0x00 00 00 00 
SFF6 , 0x00 00 00 00 
SFF7 , 0x00 00 00 00 
SFF8 , 0x00 00 00 00 
SFF9 , 0x00 00 00 00 
SFFA , 0x00 00 00 00 
SFI0 , 0x00 00 00 00 
SFI1 , 0x00 00 00 00 
SMB0 , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
SMB1 , 0x08 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  0c 00 00 00 09 a0 00 10  
SMB2 , 0x3b 29 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
TAOC , 35.384766
TAOD , 40.500000
TAOI , 48.988281
TAOJ , 41.588165
TAOP , 35.647720
TB0T , 38.699997
TB0V , 36.099991
TB50 , 0.000000
TB5B , 0.000000
TCHP , 50.370972
TCMb , 62.156010
TCMz , 68.156250
TG0A , 37.599991
TG0B , 38.699997
TG0C , 36.099991
TG0H , 36.099991
TG0V , 36.099991
TKFC , 0.000000
TKFD , 0.000000
